run_id,type,name,row,col,value
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,18,6,1.33045877888927
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,19,6,1.47050707140393
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,20,6,1.12038634011728
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,21,6,1.78061400482925
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,22,6,1.86064160055191
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,23,6,1.73059675750259
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,24,6,1.77061055536392
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,25,6,2.03070024146257
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,26,6,1.60055191445326
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,27,6,1.00034494653329
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,28,6,1.09037599172128
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,29,6,1.35046567781994
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,1,7,1.08924879393522
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,2,7,0.989317711922812
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,3,7,1.02929014472777
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,4,7,1.02929014472777
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,5,7,1.08924879393522
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,6,7,1.32908339076499
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,7,7,1.36905582356995
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,8,7,1.00930392832529
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,9,7,1.09924190213646
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,10,7,1.16919365954514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,11,7,1.09924190213646
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,12,7,1.08924879393522
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,13,7,1.36905582356995
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,14,7,1.73880082701585
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,15,7,1.06926257753274
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,16,7,0.859407305306685
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,17,7,0.929359062715369
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,18,7,0.669538249483115
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,19,7,0.709510682288077
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,20,7,0.339765678842178
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,21,7,0.75947622329428
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,22,7,1.31909028256375
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,23,7,1.08924879393522
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,24,7,0.749483115093039
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,25,7,0.849414197105445
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,26,7,0.779462439696761
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,27,7,0.669538249483115
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,28,7,0.919365954514128
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,29,7,0.789455547898001
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,1,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,2,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,3,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,4,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,5,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,6,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,7,1,1.15873061682718
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,8,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,9,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,10,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,11,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,12,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,13,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,14,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,15,1,1.0072150280376
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,16,1,1.0072150280376
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,17,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,18,1,1.0072150280376
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,19,1,1.0072150280376
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,20,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,21,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,22,1,0.976911910279683
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,23,1,0.976911910279683
